1,37.45,29.56,37,90
2,37.73,29.78,60,40
3,38.44,30.34,60,40
4,38.77,30.6,60,40
5,39.24,30.97,60,40
6,79.57,29.18,60,40
7,85.98,28.95,60,40
8,87.65,29.51,60,40
9,87.63,29.5,60,40
10,86.62,29.17,60,40
11,86.53,29.13,60,40
12,83.24,29.07,60,40
13,84.51,29.3,60,40
14,77.5,27.06,60,40
15,79.29,27.69,60,40
16,81.22,27.55,60,40
17,78.11,27.27,60,40
18,82.71,27.23,60,40
19,83.31,27.63,60,40
20,78.89,27.15,60,40
21,80.27,27.63,60,40
22,83.12,27.78,60,40
23,80.08,27.76,60,40
24,79.63,27.61,60,40
25,81.06,27.29,60,40
26,81.59,27.47,60,40
27,82.07,27.63,60,40
28,82.55,27.8,60,40
29,83.05,27.96,60,40
30,81.58,27.47,60,40
31,93.39,27.01,60,40
32,93.59,27.06,60,40
33,96.03,27.77,60,40
34,94.06,27.2,60,40
35,95.5,27.62,61,40
36,95.38,27.58,60,40
37,94.76,27.64,60,40
38,94.46,27.55,60,40
39,92.98,27.12,60,40
40,92.4,27.18,60,40
41,93.99,27.65,60,40
42,89.35,27.18,60,40
43,94.72,27.39,59,40
44,96.22,27.83,58,40
45,94.44,27.31,60,40
46,95.93,27.74,60,40
47,93.52,27.28,60,40
48,94.25,27.49,60,40
49,95.34,27.81,60,40
50,94.99,27.71,60,40
51,90.73,27.6,60,40
52,89.76,27.3,60,40
53,91.82,27.93,60,40
54,94.04,27.43,60,40
55,93.81,27.36,60,40
56,95.7,27.92,60,40
57,92.82,27.07,60,40
58,93.56,27.29,60,40
59,94.22,27.48,60,40
60,93.84,27.37,60,40
