Timestamp,CPU (%),Memory (MB),FPS,GPU (%)
2025-04-24T20:15:08.607Z,37.80518445751177,40.46,59.958029379430215,57.87
2025-04-24T20:15:09.607Z,38.64787600693942,41.36,59.934072520229144,89.95
2025-04-24T20:15:10.607Z,46.09529688478718,49.33,59.94604855629793,88.26
2025-04-24T20:15:11.607Z,92.6193724187926,38.91,59.73715651135559,89.93
2025-04-24T20:15:12.607Z,91.78567248397555,37.18,59.97600959616013,89.94
2025-04-24T20:15:13.607Z,86.20119965516741,37.51,59.565174228131866,89.1
2025-04-24T20:15:14.607Z,85.20037064602691,37.07,59.96402158704917,89.94
2025-04-24T20:15:15.607Z,87.57341197138034,38.11,60.28938906752693,88.28
2025-04-24T20:15:16.607Z,86.59662768072498,37.69,58.956470472637065,87.56
2025-04-24T20:15:17.607Z,86.7795012748234,38.42,59.92808629644009,90
2025-04-24T20:15:18.607Z,86.93870344726801,38.49,59.958029379437185,90
2025-04-24T20:15:19.607Z,87.6068248113375,38.79,59.928086296447056,90
2025-04-24T20:15:20.607Z,84.66866105001095,40.87,59.94005994005994,89.93
2025-04-24T20:15:21.607Z,81.68652341435467,39.64,59.93407252022218,89.94
2025-04-24T20:15:22.607Z,48.297808765632425,60.98,48.54761712112539,89.09
2025-04-24T20:15:23.607Z,80.40202241071641,154.99,34.32690657360215,89.93
2025-04-24T20:15:24.607Z,72.93275173111827,142.43,28.6656155940952,89.92
2025-04-24T20:15:25.607Z,85.93195722448722,225.76,28.92542062382426,89.95
2025-04-24T20:15:26.607Z,78.1575389126795,199.81,30.184123151221748,89.92
2025-04-24T20:15:27.607Z,80.67514819933108,232.1,31.45808210559353,89.94
2025-04-24T20:15:28.607Z,77.58550390761162,233.53,29.663321303209266,89.6
2025-04-24T20:15:29.607Z,86.40393831388504,274.14,50.727088265131584,89.4
2025-04-24T20:15:30.607Z,77.99652458455145,235.7,59.58291956305858,89.94
2025-04-24T20:15:31.607Z,78.70226912320307,237.83,60.301507537688444,89.93
2025-04-24T20:15:32.607Z,79.42472403898374,240.02,59.9460485563049,89.93
2025-04-24T20:15:33.607Z,80.02109605019126,242.22,59.93407252022218,89.94
2025-04-24T20:15:34.607Z,80.73741510167038,244.39,59.9460485563049,89.92
2025-04-24T20:15:35.607Z,81.47241162974291,246.62,59.93407252022218,89.94
2025-04-24T20:15:36.607Z,79.23142700424611,255.29,45.65167769915787,89.92
2025-04-24T20:15:37.607Z,80.11909806339051,257.48,55.63282336578581,89.95
2025-04-24T20:15:38.607Z,80.79692402485544,259.66,59.95203836930176,89.93
2025-04-24T20:15:39.607Z,86.15177561909555,276.87,59.934072520229144,89.94
2025-04-24T20:15:40.607Z,86.69199702620898,278.61,59.94604855629793,89.76
2025-04-24T20:15:41.607Z,80.10322182001924,257.83,59.94005994005994,89.96
2025-04-24T20:15:42.607Z,80.63202772772402,259.54,59.934072520229144,89.62
2025-04-24T20:15:43.607Z,83.79798705319203,269.73,59.94005994005994,89.95
2025-04-24T20:15:44.607Z,86.91149444192929,279.76,59.952038369308745,90
2025-04-24T20:15:45.607Z,85.13229784902514,274.46,59.952038369308745,89.1
2025-04-24T20:15:46.607Z,79.92920669365249,258.28,59.94005994005994,89.92
2025-04-24T20:15:47.607Z,82.54496940496533,266.74,58.956470472637065,89.95
2025-04-24T20:15:48.607Z,82.45265026890746,266.44,58.97385492431554,89.92
2025-04-24T20:15:49.607Z,79.85561826414956,258.05,59.27096710461053,89.93
2025-04-24T20:15:50.607Z,83.32600501385487,269.27,59.94005994005994,89.93
2025-04-24T20:15:51.607Z,85.69570036226179,277.14,58.956470472637065,78.19
2025-04-24T20:15:52.607Z,85.52439731418077,276.59,58.37711617046514,52.59
2025-04-24T20:15:53.607Z,82.96385781289354,267.86,60.477774417902836,40
2025-04-24T20:15:54.607Z,79.33077677095652,256.13,56.195560550718945,40
2025-04-24T20:15:55.607Z,83.39760044265884,269.26,58.96805896805897,40.6
2025-04-24T20:15:56.607Z,79.37847779537793,256.29,55.31993361608085,44.62
2025-04-24T20:15:57.607Z,79.79793929285644,257.64,59.95203836930176,40
2025-04-24T20:15:58.607Z,80.22677137815421,259.03,59.934072520229144,80.84
2025-04-24T20:15:59.607Z,80.59556990762144,260.22,59.94005994005994,89.63
2025-04-24T20:16:00.607Z,85.93937240375568,277.48,58.956470472637065,90
2025-04-24T20:16:01.607Z,79.51676094373602,256.74,59.95203836930176,89.94
2025-04-24T20:16:02.607Z,82.83423913150226,267.46,58.956470472637065,89.93
2025-04-24T20:16:03.607Z,83.32927554723396,269.06,59.94005994005994,89.94
2025-04-24T20:16:04.607Z,83.90508314835701,270.92,59.94005994005994,89.93
2025-04-24T20:16:05.607Z,84.54012017095656,272.97,59.94005994005994,74.27
2025-04-24T20:16:06.607Z,85.22715013996299,275.19,59.94005994005994,86.06
2025-04-24T20:16:07.607Z,85.99749732764728,277.68,59.94604855629793,89.94
